k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,Hellinger,0.05275,0.06994,0.09995,0.09136,0.1174,0.2383,50.0
1,Alt1,Replication,Hellinger,0.04887,0.0757,0.10087,0.09648,0.10993,0.25007,50.0
1,Alt1,NUTS,Hellinger,0.05578,0.07718,0.11158,0.09649,0.12918,0.28409,50.0
1,Alt1,HMC,Hellinger,0.04942,0.07942,0.10934,0.0993,0.12777,0.27187,50.0
1,Alt1,bayesm,KL,0.05686,0.10356,0.3165,0.18674,0.3074,1.67742,50.0
1,Alt1,Replication,KL,0.04454,0.12579,0.32863,0.18243,0.31946,4.80613,50.0
1,Alt1,NUTS,KL,0.30046,0.79083,inf,1.44249,,inf,50.0
1,Alt1,HMC,KL,0.18646,0.54374,inf,0.96512,2.57447,inf,50.0
1,Alt1,bayesm,JSD,0.00219,0.00402,0.00985,0.00738,0.01106,0.05332,50.0
1,Alt1,Replication,JSD,0.00183,0.00478,0.01029,0.00817,0.01052,0.05795,50.0
1,Alt1,NUTS,JSD,0.00242,0.00458,0.0127,0.00774,0.01353,0.07177,50.0
1,Alt1,HMC,JSD,0.00194,0.00494,0.01183,0.00782,0.0148,0.06778,50.0
1,Alt1,bayesm,TVD,0.01494,0.03908,0.07104,0.06687,0.08516,0.25257,50.0
1,Alt1,Replication,TVD,0.013,0.04264,0.07375,0.07068,0.09224,0.26173,50.0
1,Alt1,NUTS,TVD,0.01413,0.03742,0.0783,0.0699,0.09732,0.28217,50.0
1,Alt1,HMC,TVD,0.01966,0.03845,0.0786,0.06906,0.10675,0.28186,50.0
1,Alt1,bayesm,Wasserstein1,0.04788,0.11644,0.20571,0.18856,0.2464,0.75387,50.0
1,Alt1,Replication,Wasserstein1,0.05351,0.13178,0.20806,0.18074,0.22844,0.82131,50.0
1,Alt1,NUTS,Wasserstein1,0.11057,0.19265,0.33911,0.27509,0.37235,1.15554,50.0
1,Alt1,HMC,Wasserstein1,0.09759,0.18359,0.29708,0.22732,0.3473,0.82683,50.0
1,Alt2,bayesm,Hellinger,0.05765,0.07142,0.10844,0.08482,0.13027,0.26378,50.0
1,Alt2,Replication,Hellinger,0.05426,0.07011,0.10751,0.08834,0.12731,0.25404,50.0
1,Alt2,NUTS,Hellinger,0.06418,0.07968,0.12237,0.09444,0.14203,0.34227,50.0
1,Alt2,HMC,Hellinger,0.05652,0.07556,0.12119,0.0975,0.13806,0.39719,50.0
1,Alt2,bayesm,KL,0.06169,0.10023,0.65001,0.16345,0.29015,8.7645,50.0
1,Alt2,Replication,KL,0.05676,0.0957,0.3896,0.19961,0.25985,6.83755,50.0
1,Alt2,NUTS,KL,0.22531,0.42722,inf,0.76434,1.42362,inf,50.0
1,Alt2,HMC,KL,0.0956,0.29475,inf,0.5331,0.83923,inf,50.0
1,Alt2,bayesm,JSD,0.00267,0.00432,0.01216,0.00634,0.01527,0.05327,50.0
1,Alt2,Replication,JSD,0.00236,0.00409,0.01211,0.00676,0.01379,0.05258,50.0
1,Alt2,NUTS,JSD,0.00314,0.00485,0.01644,0.00767,0.01812,0.10136,50.0
1,Alt2,HMC,JSD,0.00256,0.00489,0.0165,0.00838,0.01714,0.13078,50.0
1,Alt2,bayesm,TVD,0.0203,0.04345,0.07859,0.06404,0.09776,0.2241,50.0
1,Alt2,Replication,TVD,0.02383,0.0433,0.08071,0.0651,0.09481,0.22024,50.0
1,Alt2,NUTS,TVD,0.03073,0.0525,0.09469,0.06948,0.12869,0.3383,50.0
1,Alt2,HMC,TVD,0.02609,0.04811,0.09416,0.07492,0.11108,0.38525,50.0
1,Alt2,bayesm,Wasserstein1,0.07735,0.12384,0.2904,0.17995,0.33614,1.44014,50.0
1,Alt2,Replication,Wasserstein1,0.07719,0.12752,0.25639,0.18034,0.29551,1.03711,50.0
1,Alt2,NUTS,Wasserstein1,0.14243,0.19341,0.40795,0.2603,0.41379,2.88696,50.0
1,Alt2,HMC,Wasserstein1,0.10292,0.16463,0.36886,0.27269,0.3814,2.11315,50.0
1,Alt3,bayesm,Hellinger,0.04685,0.06868,0.1062,0.0883,0.11471,0.30421,50.0
1,Alt3,Replication,Hellinger,0.04434,0.07414,0.10254,0.08598,0.11334,0.30222,50.0
1,Alt3,NUTS,Hellinger,0.04679,0.06779,0.11074,0.08914,0.11658,0.33672,50.0
1,Alt3,HMC,Hellinger,0.05498,0.07451,0.10978,0.08807,0.12241,0.27633,50.0
1,Alt3,bayesm,KL,0.04674,0.1157,0.29053,0.15464,0.26741,2.42735,50.0
1,Alt3,Replication,KL,0.04168,0.10674,0.26463,0.13905,0.24124,1.99968,50.0
1,Alt3,NUTS,KL,0.09552,0.29395,0.59279,0.38836,0.69878,2.90105,50.0
1,Alt3,HMC,KL,0.07738,0.20864,0.524,0.31074,0.58376,5.00364,50.0
1,Alt3,bayesm,JSD,0.0017,0.00392,0.01275,0.00636,0.01179,0.08716,50.0
1,Alt3,Replication,JSD,0.00153,0.00445,0.01164,0.0061,0.01145,0.08166,50.0
1,Alt3,NUTS,JSD,0.00166,0.0037,0.01449,0.00666,0.01215,0.10391,50.0
1,Alt3,HMC,JSD,0.00226,0.00439,0.01331,0.00624,0.01271,0.0706,50.0
1,Alt3,bayesm,TVD,0.0122,0.03424,0.08123,0.05612,0.09443,0.33187,50.0
1,Alt3,Replication,TVD,0.01226,0.03704,0.07878,0.06138,0.09429,0.30429,50.0
1,Alt3,NUTS,TVD,0.01324,0.03602,0.08556,0.06482,0.10259,0.36079,50.0
1,Alt3,HMC,TVD,0.01476,0.0423,0.08439,0.06042,0.0989,0.29858,50.0
1,Alt3,bayesm,Wasserstein1,0.05643,0.12236,0.24077,0.16888,0.2865,1.16312,50.0
1,Alt3,Replication,Wasserstein1,0.05409,0.12876,0.23296,0.17963,0.27092,1.42191,50.0
1,Alt3,NUTS,Wasserstein1,0.06841,0.13814,0.28308,0.20981,0.31762,1.43509,50.0
1,Alt3,HMC,Wasserstein1,0.07672,0.1461,0.26825,0.19768,0.31933,1.01325,50.0
1,Price,bayesm,Hellinger,0.04521,0.06513,0.09083,0.07894,0.10235,0.19458,50.0
1,Price,Replication,Hellinger,0.04395,0.06533,0.09293,0.07389,0.11032,0.22017,50.0
1,Price,NUTS,Hellinger,0.04035,0.06129,0.0947,0.07749,0.11048,0.25984,50.0
1,Price,HMC,Hellinger,0.04607,0.06202,0.09348,0.07536,0.10888,0.22434,50.0
1,Price,bayesm,KL,0.03936,0.10066,0.25328,0.15538,0.24592,2.35892,50.0
1,Price,Replication,KL,0.03734,0.10016,0.29826,0.14213,0.2832,3.63163,50.0
1,Price,NUTS,KL,0.03541,0.14541,0.41272,0.22206,0.40764,3.51207,50.0
1,Price,HMC,KL,0.03024,0.13194,inf,0.20079,0.34569,inf,50.0
1,Price,bayesm,JSD,0.0016,0.00348,0.00812,0.00522,0.00946,0.03337,50.0
1,Price,Replication,JSD,0.00153,0.00343,0.0089,0.00453,0.01029,0.04005,50.0
1,Price,NUTS,JSD,0.00134,0.00286,0.00941,0.00506,0.01102,0.05534,50.0
1,Price,HMC,JSD,0.00162,0.00301,0.00927,0.00451,0.01074,0.04571,50.0
1,Price,bayesm,TVD,0.01115,0.03378,0.06317,0.05077,0.07705,0.18317,50.0
1,Price,Replication,TVD,0.01705,0.03504,0.06595,0.04928,0.0867,0.18805,50.0
1,Price,NUTS,TVD,0.01349,0.02972,0.06544,0.05234,0.08408,0.21819,50.0
1,Price,HMC,TVD,0.01285,0.03026,0.0667,0.0505,0.08886,0.21649,50.0
1,Price,bayesm,Wasserstein1,0.05325,0.09325,0.18199,0.15413,0.20591,0.50513,50.0
1,Price,Replication,Wasserstein1,0.0546,0.09018,0.19447,0.14849,0.24901,0.97822,50.0
1,Price,NUTS,Wasserstein1,0.05654,0.10069,0.21638,0.15632,0.23749,1.12361,50.0
1,Price,HMC,Wasserstein1,0.05213,0.09163,0.2023,0.15186,0.28092,0.52092,50.0
2,Alt1,bayesm,Hellinger,0.05464,0.07534,0.115,0.09535,0.14192,0.43296,50.0
2,Alt1,Replication,Hellinger,0.05308,0.07224,0.11606,0.097,0.1348,0.45998,50.0
2,Alt1,NUTS,Hellinger,0.04758,0.08088,0.12704,0.1108,0.15578,0.38621,50.0
2,Alt1,HMC,Hellinger,0.05269,0.08474,0.13196,0.10556,0.1699,0.37945,50.0
2,Alt1,bayesm,KL,0.03709,0.09191,0.56247,0.18192,0.37987,9.73744,50.0
2,Alt1,Replication,KL,0.02518,0.08883,0.41603,0.17572,0.4662,2.8384,50.0
2,Alt1,NUTS,KL,0.01687,0.26838,inf,0.56875,1.05568,inf,50.0
2,Alt1,HMC,KL,0.1275,0.34428,inf,0.58043,0.92919,inf,50.0
2,Alt1,bayesm,JSD,0.0026,0.00489,0.0149,0.00785,0.01774,0.1554,50.0
