param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.07193,0.09259,0.12924,0.10976,0.13678,0.43379,100.0
Alt1,Replication,Hellinger,0.06953,0.08872,0.12836,0.10993,0.14726,0.51785,100.0
Alt1,NUTS,Hellinger,0.03555,0.08185,0.13326,0.09966,0.14689,0.59904,100.0
Alt1,HMC,Hellinger,0.04821,0.08744,0.1275,0.10085,0.15061,0.41397,100.0
Alt1,bayesm,KL,1.17275,,inf,inf,,inf,100.0
Alt1,Replication,KL,1.02218,,inf,inf,,inf,100.0
Alt1,NUTS,KL,0.41318,1.32624,inf,2.3153,8.72682,inf,100.0
Alt1,HMC,KL,0.54929,1.67644,inf,inf,,inf,100.0
Alt1,bayesm,JSD,0.00382,0.00679,0.01735,0.0095,0.0157,0.15209,100.0
Alt1,Replication,JSD,0.00354,0.00613,0.01713,0.00995,0.01864,0.20804,100.0
Alt1,NUTS,JSD,0.00088,0.00482,0.02122,0.00789,0.0175,0.26821,100.0
Alt1,HMC,JSD,0.00165,0.00584,0.01736,0.00818,0.01848,0.14272,100.0
Alt1,bayesm,TVD,0.01721,0.04586,0.08933,0.06882,0.10775,0.41735,100.0
Alt1,Replication,TVD,0.01534,0.04574,0.08979,0.07126,0.10672,0.49154,100.0
Alt1,NUTS,TVD,0.00253,0.0169,0.07722,0.03627,0.08405,0.59014,100.0
Alt1,HMC,TVD,0.00523,0.02976,0.08253,0.05576,0.1045,0.48136,100.0
Alt2,bayesm,Hellinger,0.06844,0.09066,0.12546,0.10598,0.14145,0.45263,100.0
Alt2,Replication,Hellinger,0.07079,0.08729,0.12659,0.10906,0.13865,0.55826,100.0
Alt2,NUTS,Hellinger,0.05953,0.08763,0.12896,0.10329,0.13488,0.52678,100.0
Alt2,HMC,Hellinger,0.06059,0.08821,0.13083,0.10906,0.15759,0.46305,100.0
Alt2,bayesm,KL,0.9907,,inf,inf,,inf,100.0
Alt2,Replication,KL,0.89299,,inf,inf,,inf,100.0
Alt2,NUTS,KL,0.33713,1.54245,inf,3.47066,,inf,100.0
Alt2,HMC,KL,0.73333,2.19904,inf,inf,,inf,100.0
Alt2,bayesm,JSD,0.00356,0.00625,0.01541,0.00928,0.01741,0.16785,100.0
Alt2,Replication,JSD,0.00355,0.00574,0.01623,0.00966,0.01581,0.24257,100.0
Alt2,NUTS,JSD,0.00251,0.00593,0.01807,0.0083,0.01507,0.22853,100.0
Alt2,HMC,JSD,0.00259,0.00607,0.01786,0.0099,0.02211,0.17773,100.0
Alt2,bayesm,TVD,0.01282,0.04421,0.08551,0.06854,0.11044,0.45307,100.0
Alt2,Replication,TVD,0.01165,0.04541,0.08641,0.06893,0.10986,0.54682,100.0
Alt2,NUTS,TVD,0.00841,0.03756,0.086,0.05762,0.10182,0.50618,100.0
Alt2,HMC,TVD,0.0098,0.04682,0.09565,0.0764,0.12635,0.4598,100.0
Alt3,bayesm,Hellinger,0.06799,0.0909,0.13167,0.1072,0.1356,0.4776,100.0
Alt3,Replication,Hellinger,0.06664,0.08987,0.13124,0.1066,0.13784,0.49433,100.0
Alt3,NUTS,Hellinger,0.06294,0.08415,0.1295,0.10034,0.12934,0.53712,100.0
Alt3,HMC,Hellinger,0.06643,0.08706,0.13022,0.0989,0.13766,0.58392,100.0
Alt3,bayesm,KL,0.8842,,inf,inf,,inf,100.0
Alt3,Replication,KL,inf,,inf,inf,,inf,100.0
Alt3,NUTS,KL,0.75619,2.21404,inf,inf,,inf,100.0
Alt3,HMC,KL,0.86505,,inf,inf,,inf,100.0
Alt3,bayesm,JSD,0.00338,0.00632,0.0191,0.00934,0.01525,0.1924,100.0
Alt3,Replication,JSD,0.00326,0.00634,0.01929,0.00871,0.01584,0.19555,100.0
Alt3,NUTS,JSD,0.00285,0.00534,0.01964,0.00821,0.0138,0.23858,100.0
Alt3,HMC,JSD,0.00315,0.00598,0.01956,0.00798,0.01586,0.27888,100.0
Alt3,bayesm,TVD,0.01271,0.04233,0.09387,0.06586,0.10175,0.49576,100.0
Alt3,Replication,TVD,0.0149,0.04131,0.0933,0.06528,0.1084,0.50022,100.0
Alt3,NUTS,TVD,0.01262,0.03968,0.0925,0.06396,0.10176,0.56524,100.0
Alt3,HMC,TVD,0.01333,0.04497,0.09674,0.06744,0.10383,0.60008,100.0
Price,bayesm,Hellinger,0.0646,0.08364,0.10555,0.09513,0.11696,0.20422,100.0
Price,Replication,Hellinger,0.06323,0.0842,0.10652,0.09587,0.11684,0.21738,100.0
Price,NUTS,Hellinger,0.05903,0.07878,0.10544,0.09061,0.12234,0.26303,100.0
Price,HMC,Hellinger,0.06314,0.07973,0.10399,0.09132,0.1206,0.23109,100.0
Price,bayesm,KL,0.68971,,inf,inf,,inf,100.0
Price,Replication,KL,0.99219,,inf,inf,,inf,100.0
Price,NUTS,KL,0.86711,,inf,inf,,inf,100.0
Price,HMC,KL,1.20493,,inf,inf,,inf,100.0
Price,bayesm,JSD,0.00308,0.00546,0.00973,0.007,0.01126,0.03604,100.0
Price,Replication,JSD,0.00297,0.00545,0.01003,0.00717,0.01126,0.03976,100.0
Price,NUTS,JSD,0.00263,0.0048,0.01012,0.00657,0.013,0.05653,100.0
Price,HMC,JSD,0.00292,0.00481,0.00988,0.00627,0.0126,0.04784,100.0
Price,bayesm,TVD,0.01603,0.03686,0.06274,0.05232,0.07648,0.19641,100.0
Price,Replication,TVD,0.01347,0.03685,0.06397,0.05232,0.07584,0.18767,100.0
Price,NUTS,TVD,0.01231,0.03502,0.06402,0.05124,0.0804,0.22125,100.0
