k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,0.5366,0.7638,0.9478,0.8889,0.9943,2.0323,50.0
1,Alt1,Replication,0.5711,0.7724,0.9347,0.8866,1.0576,1.7677,50.0
1,Alt1,NUTS,0.5388,0.7815,1.0065,0.8599,1.0487,4.3094,50.0
1,Alt1,HMC,0.5404,0.7592,1.0435,0.8548,1.0005,5.5888,50.0
1,Alt2,bayesm,0.5511,0.8053,1.0764,0.8896,1.1319,3.6112,50.0
1,Alt2,Replication,0.552,0.7965,1.0,0.9268,1.1351,2.0724,50.0
1,Alt2,NUTS,0.5514,0.7974,1.1206,0.8932,1.2806,3.8491,50.0
1,Alt2,HMC,0.5526,0.808,1.1129,0.8919,1.1199,5.6125,50.0
1,Alt3,bayesm,0.5912,0.8092,0.9589,0.9083,1.0514,1.691,50.0
1,Alt3,Replication,0.6171,0.7813,0.959,0.8842,1.0742,2.1005,50.0
1,Alt3,NUTS,0.5609,0.8039,0.9924,0.8962,1.0964,2.5622,50.0
1,Alt3,HMC,0.5545,0.7967,0.9148,0.8442,1.0043,1.5763,50.0
1,Price,bayesm,0.3397,0.626,0.8458,0.7311,0.9372,2.2596,50.0
1,Price,Replication,0.3495,0.5956,0.8696,0.7892,0.9783,2.7581,50.0
1,Price,NUTS,0.3387,0.5954,0.843,0.7224,0.8965,2.3084,50.0
1,Price,HMC,0.3538,0.5739,0.8305,0.7312,0.9329,2.7163,50.0
2,Alt1,bayesm,0.6381,0.8269,1.0579,0.9159,1.0978,3.0385,50.0
2,Alt1,Replication,0.6485,0.8239,1.0192,0.8978,1.0805,2.4394,50.0
2,Alt1,NUTS,0.6414,0.8234,1.2946,0.9837,1.3564,5.1458,50.0
2,Alt1,HMC,0.6435,0.7914,1.0345,0.8584,1.2401,2.4101,50.0
2,Alt2,bayesm,0.6934,0.8842,1.1445,1.0395,1.1849,2.5857,50.0
2,Alt2,Replication,0.7005,0.8478,1.0925,1.0315,1.2081,2.475,50.0
2,Alt2,NUTS,0.6097,0.8467,1.1388,1.0187,1.2995,2.7421,50.0
